,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-01-01,3175585,1,0,0.04234757242287881,0.0,0.0
2017-01-02,2895859,1,0,0.041646410511513576,0.0,0.0
2017-01-03,3178626,1,0,0.04098873680351359,0.0,0.0
2017-01-04,3239370,1,0,0.04098283761677367,0.0,0.0
2017-01-05,3384616,1,0,0.04257985767630967,0.0,0.0
2017-01-06,3375941,3,0,0.03892233515264226,-1.0,-0.2
2017-01-07,3410075,2,0,0.04189556839038813,1.0,0.0
2017-01-08,3157579,2,0,0.04138790604992946,0.0,0.0
2017-01-09,3603300,2,0,0.043282789818385854,0.0,0.0
2017-01-10,3771275,1,0,0.04419293403817818,1.0,0.2
2017-01-11,3884827,1,0,0.044505942392173425,0.0,0.4
2017-01-12,3946617,1,0,0.04476240442421143,0.0,0.2
2017-01-13,4124305,1,0,0.04404748886630928,0.0,0.2
2017-01-14,4110575,1,0,0.04610056711578974,0.0,0.2
2017-01-15,3577898,1,0,0.044053293889613016,0.0,0.0
2017-01-16,3586318,1,0,0.0417655283153267,0.0,0.0
2017-01-17,3652573,1,0,0.041537564941590256,0.0,0.0
2017-01-18,3728317,1,0,0.04191210320085802,0.0,0.0
2017-01-19,3741699,1,0,0.04203968040396574,0.0,0.0
2017-01-20,3902513,1,0,0.04290139125258002,0.0,0.0
2017-01-21,3902652,1,0,0.04465126074917927,0.0,0.0
2017-01-22,3468869,1,0,0.043907945067402886,0.0,0.0
2017-01-23,3425722,2,0,0.04093746956104122,-1.0,-0.2
2017-01-24,3613949,2,0,0.04166348335407948,0.0,-0.2
2017-01-25,3668514,2,0,0.04174949673754278,0.0,-0.2
2017-01-26,3710870,2,0,0.04164077258985571,0.0,-0.2
2017-01-27,4846742,1,0,0.04988665800525603,1.0,0.0
2017-01-28,4738953,1,0,0.05133967436781698,0.0,0.2
2017-01-29,4159478,1,0,0.05069889024484811,0.0,0.2
2017-01-30,4167193,1,0,0.047771961913008,0.0,0.2
2017-01-31,4412268,1,0,0.04896416290665932,0.0,0.2
2017-02-01,4405698,1,0,0.048417224103680365,0.0,0.0
2017-02-02,4367233,1,0,0.047914904947967595,0.0,0.0
2017-02-03,5196657,1,0,0.05206343610541156,0.0,0.0
2017-02-04,5092169,1,0,0.052861009246777835,0.0,0.0
2017-02-05,4585662,1,0,0.05252616439078892,0.0,0.0
2017-02-06,4159252,2,0,0.04886831700604982,-1.0,-0.2
2017-02-07,4533212,2,0,0.04961264329755232,0.0,-0.2
2017-02-08,4560276,2,0,0.04934769060779722,0.0,-0.2
2017-02-09,4470340,2,0,0.04881390468935348,0.0,-0.2
2017-02-10,4656494,2,0,0.048808372934393766,0.0,-0.2
2017-02-11,4584761,1,0,0.04996094615686962,1.0,0.2
2017-02-12,4098065,2,0,0.04958938450663671,-1.0,0.0
2017-02-13,4248505,2,0,0.04732994740884244,0.0,0.0
2017-02-14,4346032,2,0,0.04666968553379155,0.0,0.0
2017-02-15,4305871,2,0,0.04671326380196715,0.0,0.0
2017-02-16,4366471,2,0,0.04671543934287561,0.0,-0.2
2017-02-17,4148870,2,0,0.040080779647662004,0.0,0.0
2017-02-18,4019110,2,0,0.04160107267588186,0.0,0.0
2017-02-19,3581909,2,0,0.041848641907553955,0.0,0.0
2017-02-20,3510806,2,0,0.038920535450668335,0.0,0.0
2017-02-21,3585670,2,0,0.03897862643049967,0.0,0.0
2017-02-22,3667860,2,0,0.03855084126706401,0.0,0.0
2017-02-23,3707475,2,0,0.03791519644366456,0.0,0.0
2017-02-24,4077498,3,0,0.03759243075136653,-1.0,-0.2
2017-02-25,4220676,2,0,0.04234219702165939,1.0,0.0
2017-02-26,3669282,2,0,0.0415681010630137,0.0,0.0
2017-02-27,3630942,4,0,0.03875380956246688,-1.0,-0.2
2017-02-28,3899009,4,0,0.03989441010515811,0.0,-0.2
2017-03-01,3882585,4,0,0.03960477291074478,0.0,0.0
2017-03-02,3854806,4,0,0.038534844860303605,0.0,-0.2
2017-03-03,3851172,4,0,0.03139931205231226,0.0,-0.2
2017-03-04,3670898,3,0,0.03190407701022107,1.0,0.2
2017-03-05,3202220,3,0,0.031131015228835497,0.0,0.2
2017-03-06,3200241,8,0,0.028286860946173564,-1.0,0.0
2017-03-07,3316928,7,0,0.02911026156800382,1.0,0.2
2017-03-08,3330799,6,0,0.02942718597661114,1.0,0.4
2017-03-09,3465100,6,0,0.03048866866117517,0.0,0.2
2017-03-10,3512339,6,0,0.030431962981391933,0.0,0.2
2017-03-11,3446654,5,0,0.031481166499514456,1.0,0.6
2017-03-12,3050966,6,0,0.030907090255676003,-1.0,0.2
