,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-01-02,202501,107,0,0.0029122411605647966,0.0,0.0
2017-01-03,244366,97,0,0.003151126825781769,1.0,0.0
2017-01-04,264227,80,0,0.003342863654033734,1.0,0.0
2017-01-05,271708,75,0,0.0034181980967751577,1.0,0.0
2017-01-06,286131,75,0,0.0032988984936527872,0.0,0.6
2017-01-07,269426,72,0,0.0033101193988838112,1.0,0.8
2017-01-08,262514,72,0,0.0034408972091565034,0.0,0.6
2017-01-09,309658,59,0,0.0037196076179007373,1.0,0.6
2017-01-10,311988,61,0,0.003655969162870152,-1.0,0.2
2017-01-11,324750,61,0,0.0037204500462590276,0.0,0.2
2017-01-12,331350,60,0,0.0037581611557347618,1.0,0.2
2017-01-13,347128,60,0,0.00370731958843592,0.0,0.2
2017-01-14,321218,61,0,0.00360249647988414,-1.0,-0.2
2017-01-15,300704,60,0,0.003702453699289972,1.0,0.2
2017-01-16,306884,62,0,0.003573908502124106,-1.0,0.0
2017-01-17,339001,57,0,0.0038551662219383533,1.0,0.0
2017-01-18,342911,56,0,0.0038548549441234274,1.0,0.2
2017-01-19,341773,57,0,0.00383997421778304,-1.0,0.2
2017-01-20,357453,54,0,0.003929578455576827,1.0,0.2
2017-01-21,345970,50,0,0.003958333123576878,1.0,0.6
2017-01-22,337808,49,0,0.004275876404479164,1.0,0.6
2017-01-23,382836,44,0,0.004574900443430838,1.0,0.6
2017-01-24,401703,43,0,0.004631041072738932,1.0,1.0
2017-01-25,405840,45,0,0.00461865915080721,-1.0,0.6
2017-01-26,414263,44,0,0.004648567957215261,1.0,0.6
2017-01-27,431771,51,0,0.004444142521633584,-1.0,0.2
2017-01-28,405929,50,0,0.004397651269479478,1.0,0.2
2017-01-29,384056,44,0,0.0046811674426154885,1.0,0.2
2017-01-30,411724,46,0,0.004719930957522558,-1.0,0.2
2017-01-31,436960,43,0,0.004849066426539335,1.0,0.2
2017-02-01,441955,41,0,0.004856945319162152,1.0,0.6
2017-02-02,445483,40,0,0.004887597158414824,1.0,0.6
2017-02-03,469516,47,0,0.004703911816090309,-1.0,0.2
2017-02-04,453273,45,0,0.004705356056390652,1.0,0.6
2017-02-05,425669,42,0,0.004875797620946055,1.0,0.6
2017-02-06,400727,41,0,0.004708263425462878,1.0,0.6
2017-02-07,444528,40,0,0.004865029277204406,1.0,0.6
2017-02-08,452507,42,0,0.0048966719193887604,-1.0,0.6
2017-02-09,447592,40,0,0.004887483553312971,1.0,0.6
2017-02-10,476441,37,0,0.004993952533652035,1.0,0.6
2017-02-11,465447,35,0,0.005072057737770081,1.0,0.6
2017-02-12,420964,35,0,0.005093951818590436,0.0,0.4
2017-02-13,430766,38,0,0.004798895641059013,-1.0,0.4
2017-02-14,447932,37,0,0.004810099322904737,1.0,0.4
2017-02-15,443541,40,0,0.004811859839737026,-1.0,0.0
2017-02-16,455052,40,0,0.004868451915483746,0.0,-0.2
2017-02-17,485563,49,0,0.00469085404171683,-1.0,-0.4
2017-02-18,462545,42,0,0.004787718714060022,1.0,0.0
2017-02-19,429618,42,0,0.005019370910606471,0.0,-0.2
2017-02-20,426443,47,0,0.004727515533239192,-1.0,-0.2
2017-02-21,449789,45,0,0.004889506676171543,1.0,0.0
2017-02-22,463406,45,0,0.0048706033349705455,0.0,0.2
2017-02-23,472507,45,0,0.004832182476215379,0.0,0.0
2017-02-24,492086,48,0,0.0045367793874373325,-1.0,-0.2
2017-02-25,470183,42,0,0.004716917674380805,1.0,0.2
2017-02-26,426397,43,0,0.004830512778512487,-1.0,-0.2
2017-02-27,439041,45,0,0.004685977166287708,-1.0,-0.4
2017-02-28,464895,44,0,0.004756775833509868,1.0,-0.2
2017-03-01,468438,46,0,0.004778357875684232,-1.0,-0.2
2017-03-02,469518,48,0,0.004693570386971492,-1.0,-0.6
2017-03-03,493863,61,0,0.004026555668791498,-1.0,-0.6
2017-03-04,455861,59,0,0.003961925515216273,1.0,-0.2
2017-03-05,394996,60,0,0.0038400317565092674,-1.0,-0.6
2017-03-06,408535,64,0,0.003611032024352234,-1.0,-0.6
2017-03-07,430436,60,0,0.003777623315394634,1.0,-0.2
2017-03-08,431398,62,0,0.0038113465195402344,-1.0,-0.2
2017-03-09,434280,62,0,0.0038211361940997815,0.0,-0.4
2017-03-10,448239,62,0,0.003883677701615971,0.0,-0.2
2017-03-11,433896,55,0,0.00396313416417004,1.0,0.2
2017-03-12,393704,55,0,0.003988325357287058,0.0,0.0
2017-03-13,389840,60,0,0.0037108492623692366,-1.0,0.0
2017-03-14,390989,54,0,0.00384938088891853,1.0,0.2
2017-03-15,401734,53,0,0.003918040094786504,1.0,0.4
2017-03-16,401476,53,0,0.003954319258260496,0.0,0.2
2017-03-17,607055,52,0,0.005807950599350116,1.0,0.4
2017-03-18,605072,49,0,0.006160197740604498,1.0,0.8
2017-03-19,393769,70,0,0.002946326962792645,-1.0,0.4
2017-03-20,563993,71,0,0.004082298804572987,-1.0,0.0
2017-03-21,584913,70,0,0.004376717336064432,1.0,0.2
2017-03-22,570611,70,0,0.004505143703536814,0.0,0.0
2017-03-23,412642,67,0,0.0033514810637486313,1.0,0.0
2017-03-24,432555,69,0,0.003443004926038972,-1.0,0.0
2017-03-25,420878,67,0,0.003600698902331716,1.0,0.4
2017-03-26,376283,67,0,0.003651878659098069,0.0,0.2
2017-03-27,389003,72,0,0.003500274913430726,-1.0,0.0
2017-03-28,402290,71,0,0.003595645033817958,1.0,0.0
2017-03-29,404462,69,0,0.0036449338657209077,1.0,0.4
2017-03-30,404114,67,0,0.003664071168829944,1.0,0.4
2017-03-31,1044131,65,0,0.008989375546828117,1.0,0.6
2017-04-01,922136,74,0,0.008494924984845888,-1.0,0.6
2017-04-02,788171,76,0,0.007965162682104572,-1.0,0.2
2017-04-03,892673,70,0,0.008437681076652314,1.0,0.2
2017-04-04,893278,73,0,0.008464327146597655,-1.0,-0.2
2017-04-05,869866,79,0,0.008290275238556062,-1.0,-0.6
2017-04-06,848445,80,0,0.008158125549104604,-1.0,-0.6
2017-04-07,845104,89,0,0.007308626096791402,-1.0,-0.6
2017-04-08,756373,76,0,0.006953512738220898,1.0,-0.6
2017-04-09,522092,71,0,0.0053112962738137365,1.0,-0.2
2017-04-10,726582,85,0,0.006965804473135143,-1.0,-0.2
2017-04-11,718830,77,0,0.006917359147568259,1.0,0.2
2017-04-12,703164,70,0,0.006771018553049578,1.0,0.6
2017-04-13,713456,69,0,0.006746574932805501,1.0,0.6
2017-04-14,831259,86,0,0.00599620139614727,-1.0,0.2
2017-04-15,815400,77,0,0.0067474547349556085,1.0,0.6
2017-04-16,711198,80,0,0.006787158796867744,-1.0,0.2
2017-04-17,793646,74,0,0.00686932297233576,1.0,0.2
2017-04-18,1016521,70,0,0.008515575020984406,1.0,0.2
2017-04-19,1037999,65,0,0.008868414508111292,1.0,0.6
2017-04-20,1229064,67,0,0.010568194633961737,-1.0,0.2
2017-04-21,1093981,81,0,0.009092141243265694,-1.0,0.2
