,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-01-09,150018,177,0,0.001802014143417037,0.0,0.0
2017-01-10,155127,177,0,0.001817824814828,0.0,0.0
2017-01-11,162918,170,0,0.0018664458218211801,1.0,0.0
2017-01-12,169100,169,0,0.0019179268188765602,1.0,0.0
2017-01-13,181471,162,0,0.0019381063844836914,1.0,0.6
2017-01-14,167268,158,0,0.001875929683882162,1.0,0.8
2017-01-15,152060,157,0,0.0018722568024171049,1.0,1.0
2017-01-16,153946,163,0,0.0017928237323157857,-1.0,0.6
2017-01-17,164916,160,0,0.0018754475433912746,1.0,0.6
2017-01-18,174006,152,0,0.0019560990735413594,1.0,0.6
2017-01-19,171782,157,0,0.001930048456370767,-1.0,0.2
2017-01-20,180423,151,0,0.001983439315631811,1.0,0.2
2017-01-21,176485,143,0,0.002019210975848962,1.0,0.6
2017-01-22,160580,145,0,0.0020325754068324735,-1.0,0.2
2017-01-23,167852,149,0,0.002005835891166852,-1.0,-0.2
2017-01-24,168795,160,0,0.0019459565347357823,-1.0,-0.2
2017-01-25,169315,159,0,0.001926888118763362,1.0,-0.2
2017-01-26,173850,160,0,0.0019508223987222445,-1.0,-0.6
2017-01-27,177682,169,0,0.0018288493936111931,-1.0,-0.6
2017-01-28,168955,165,0,0.0018303820871012051,1.0,-0.2
2017-01-29,155804,160,0,0.0018990579817247054,1.0,0.2
2017-01-30,160714,170,0,0.0018423968092879709,-1.0,-0.2
2017-01-31,167965,172,0,0.0018639542345607822,-1.0,-0.2
2017-02-01,168818,171,0,0.001855256292813332,1.0,0.2
2017-02-02,167715,183,0,0.0018400777525147812,-1.0,-0.2
2017-02-03,175826,175,0,0.0017615374108143165,1.0,-0.2
2017-02-04,171549,173,0,0.0017808233142449692,1.0,0.2
2017-02-05,155970,177,0,0.001786548127627232,-1.0,0.2
2017-02-06,145798,191,0,0.0017130250542280324,-1.0,-0.2
2017-02-07,161101,186,0,0.0017631309649491303,1.0,0.2
2017-02-08,162109,189,0,0.0017542150467952818,-1.0,-0.2
2017-02-09,161543,197,0,0.0017639697663337083,-1.0,-0.6
2017-02-10,171300,185,0,0.0017955299166415016,1.0,-0.2
2017-02-11,168791,181,0,0.0018393451834815772,1.0,0.2
2017-02-12,151618,181,0,0.0018346813191414107,0.0,0.0
2017-02-18,167859,194,0,0.0017374778143173124,-1.0,0.0
2017-02-19,153163,190,0,0.0017894546010204856,1.0,0.4
2017-02-20,155274,193,0,0.001721356070818802,-1.0,0.0
2017-02-21,159656,196,0,0.0017355672946444754,-1.0,-0.4
2017-02-22,166652,196,0,0.0017515867014659097,0.0,-0.4
2017-02-23,175188,187,0,0.0017915933174391485,1.0,0.0
2017-02-24,185765,194,0,0.0017126575901515104,-1.0,-0.4
2017-02-25,182143,170,0,0.0018272747759164897,1.0,0.0
2017-02-26,163251,169,0,0.0018494174246182359,1.0,0.4
2017-02-27,169036,177,0,0.0018041568698153679,-1.0,0.2
2017-02-28,177248,173,0,0.0018135901718408611,1.0,0.2
2017-03-01,182787,165,0,0.0018645406671164459,1.0,0.6
2017-03-02,182252,172,0,0.0018218951992603656,-1.0,0.2
2017-03-03,192073,177,0,0.0015660064167021812,-1.0,-0.2
2017-03-04,186671,165,0,0.0016223730432104017,1.0,0.2
2017-03-05,166629,167,0,0.00161991678790515,-1.0,-0.2
2017-03-06,168988,188,0,0.0014936812751202109,-1.0,-0.6
2017-03-07,175331,187,0,0.0015387525056255902,1.0,-0.2
2017-03-08,176950,186,0,0.0015633307679512758,1.0,0.2
2017-03-09,180089,185,0,0.001584564327298599,1.0,0.2
2017-03-10,185721,179,0,0.0016091426815199475,1.0,0.6
2017-03-11,181118,173,0,0.0016543017993854501,1.0,1.0
2017-03-12,164692,172,0,0.0016683733966185766,1.0,1.0
2017-03-13,162311,187,0,0.001545022713483514,-1.0,0.6
2017-03-14,163531,180,0,0.0016100020873879726,1.0,0.6
2017-03-15,165817,184,0,0.0016171836448924258,-1.0,0.2
2017-03-16,159030,190,0,0.0015663586158105754,-1.0,-0.2
2017-03-17,166375,199,0,0.0015917796261737001,-1.0,-0.6
2017-03-18,159188,187,0,0.0016206824277628922,1.0,-0.2
2017-03-31,250979,120,0,0.002160786802965695,1.0,-0.2
2017-04-01,238327,119,0,0.002195522121317643,1.0,0.2
2017-04-02,199060,133,0,0.0020116767598652276,-1.0,0.2
2017-04-03,209855,144,0,0.0019835814036504645,-1.0,0.2
2017-04-04,206492,143,0,0.001956631464286866,1.0,0.2
2017-04-05,199368,158,0,0.0019000806949121415,-1.0,-0.2
2017-04-06,197379,157,0,0.0018978751277415951,1.0,-0.2
2017-04-07,204201,174,0,0.001765970528586897,-1.0,-0.2
2017-04-08,192502,171,0,0.0017697156153551213,1.0,0.2
