,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-01-01,418407,44,0,0.005579608398055619,0.0,0.0
2017-01-02,342843,52,0,0.004930550941533704,-1.0,0.0
2017-01-03,368753,55,0,0.004755111064499581,-1.0,0.0
2017-01-04,349421,62,0,0.0044206941790813255,-1.0,0.0
2017-01-05,390300,54,0,0.004910134104153518,1.0,-0.4
2017-01-06,362987,61,0,0.004184996618735978,-1.0,-0.6
2017-01-07,355571,53,0,0.004368481381828463,1.0,-0.2
2017-01-08,328362,57,0,0.004303998603476568,-1.0,-0.2
2017-01-09,320955,75,0,0.0038553070258263347,-1.0,-0.2
2017-01-10,350885,69,0,0.004111775900719558,1.0,-0.2
2017-01-11,345384,71,0,0.00395684039654235,-1.0,-0.2
2017-01-12,393548,65,0,0.004463608892461458,1.0,-0.2
2017-01-13,372268,71,0,0.003975814248772393,-1.0,-0.2
2017-01-14,372181,67,0,0.004174052333243339,1.0,0.2
2017-01-15,332170,69,0,0.0040898825599032605,-1.0,-0.2
2017-01-16,332994,77,0,0.0038779802392966546,-1.0,-0.2
2017-01-17,328937,78,0,0.003740717023093549,-1.0,-0.6
2017-01-18,335782,78,0,0.003774713855337544,0.0,-0.4
2017-01-19,345373,76,0,0.0038804218458403147,1.0,-0.4
2017-01-20,353466,77,0,0.0038857482756583903,-1.0,-0.4
2017-01-21,361491,68,0,0.004135912938043557,1.0,0.0
2017-01-22,327356,68,0,0.004143577997752218,0.0,0.2
2017-01-23,305098,81,0,0.0036459292634179173,-1.0,0.0
2017-01-24,331332,77,0,0.0038197675912620415,1.0,0.0
2017-01-25,332457,76,0,0.0037835244561894165,1.0,0.4
2017-01-26,344801,76,0,0.0038691142588543493,0.0,0.2
2017-01-27,356448,79,0,0.0036688562074600837,-1.0,0.0
2017-01-28,362167,76,0,0.003923553545850565,1.0,0.4
2017-01-29,319595,77,0,0.0038954676110324977,-1.0,0.0
2017-01-30,303308,88,0,0.003477069150363477,-1.0,-0.4
2017-01-31,325458,87,0,0.003611697777939946,1.0,-0.2
2017-02-01,328285,87,0,0.0036077480605517464,0.0,0.0
2017-02-02,395409,84,0,0.004338212467841976,1.0,0.0
2017-02-03,346206,90,0,0.0034685133077496004,-1.0,0.0
2017-02-04,349875,86,0,0.0036319976045996105,1.0,0.4
2017-02-05,317634,86,0,0.0036383178045184855,0.0,0.2
2017-02-06,275061,99,0,0.0032317753634550322,-1.0,0.0
2017-02-07,302498,98,0,0.0033106162633079993,1.0,0.0
2017-02-08,307087,97,0,0.003323051996343341,1.0,0.4
2017-02-09,314227,99,0,0.003431203628543126,-1.0,0.0
2017-02-10,325862,97,0,0.003415615701673281,1.0,0.2
2017-02-11,342918,84,0,0.003736837696495284,1.0,0.6
2017-02-12,308109,78,0,0.0037283292653863057,1.0,0.6
2017-02-13,318559,84,0,0.0035488673584268913,-1.0,0.2
2017-02-14,272476,103,0,0.0029259722973750276,-1.0,0.2
2017-02-15,306571,101,0,0.0033259082766373795,1.0,0.2
2017-02-16,317483,100,0,0.0033966463601599957,1.0,0.2
2017-02-17,326420,106,0,0.0031534292693166646,-1.0,-0.2
2017-02-18,325024,92,0,0.0033642639901385694,1.0,0.2
2017-02-19,287205,96,0,0.003355512158198054,-1.0,0.2
2017-02-20,287915,101,0,0.0031918043789030703,-1.0,-0.2
2017-02-21,291420,105,0,0.0031679299306339444,-1.0,-0.6
2017-02-22,305756,103,0,0.003213631660546592,1.0,-0.2
2017-02-23,268948,107,0,0.002750447744929014,-1.0,-0.6
2017-02-24,277498,109,0,0.0025583885874726877,-1.0,-0.6
2017-02-25,280912,94,0,0.0028181341684953743,1.0,-0.2
2017-02-26,245993,102,0,0.0027867746018959373,-1.0,-0.2
2017-02-27,233590,113,0,0.0024931553232457686,-1.0,-0.6
2017-02-28,252344,111,0,0.002581967629101656,1.0,-0.2
2017-03-01,255920,112,0,0.002610542585240968,-1.0,-0.2
2017-03-02,258897,108,0,0.002588082443006995,1.0,-0.2
2017-03-03,268025,122,0,0.0021852570108063193,-1.0,-0.2
2017-03-04,271349,110,0,0.0023583165189134856,1.0,0.2
2017-03-05,236540,116,0,0.00229957040497803,-1.0,-0.2
2017-03-06,230902,125,0,0.002040937781308773,-1.0,-0.2
2017-03-07,246361,122,0,0.0021621310894161675,1.0,-0.2
2017-03-08,252768,117,0,0.002233173165038192,1.0,0.2
2017-03-09,460862,117,0,0.004055025487439471,0.0,0.0
2017-03-10,520959,112,0,0.004513745684235764,1.0,0.4
2017-03-11,513593,111,0,0.004691073355777843,1.0,0.8
2017-03-12,415365,116,0,0.004207757000257906,-1.0,0.4
2017-03-13,451954,120,0,0.004302106421929063,-1.0,0.0
2017-03-14,469897,119,0,0.004626249156779731,1.0,0.2
2017-03-15,479157,122,0,0.004673132813497531,-1.0,-0.2
2017-03-16,479008,118,0,0.004717967099554752,1.0,-0.2
2017-03-17,496525,116,0,0.004750463584588408,1.0,0.2
2017-03-18,472592,106,0,0.004811427682371289,1.0,0.6
2017-03-19,220601,138,0,0.0016506192064865957,-1.0,0.2
2017-03-20,414879,147,0,0.003002980614550954,-1.0,0.2
2017-03-21,413967,144,0,0.0030975829661139087,1.0,0.2
2017-03-22,415542,144,0,0.003280827787853888,0.0,0.0
2017-03-23,447252,140,0,0.0036325837135427388,1.0,0.0
2017-03-24,439580,147,0,0.003498921768071601,-1.0,0.0
2017-03-25,431542,134,0,0.0036919316422099357,1.0,0.4
2017-03-26,373135,133,0,0.003621326882858269,1.0,0.4
2017-03-27,388413,148,0,0.003494966054118782,-1.0,0.2
2017-03-28,406729,143,0,0.0036353205621808752,1.0,0.2
2017-03-29,420843,137,0,0.0037925562916951007,1.0,0.6
2017-03-30,421909,135,0,0.003825417092132104,1.0,0.6
2017-03-31,248896,142,0,0.0021428533547067667,-1.0,0.2
2017-04-01,246246,134,0,0.002268473736865669,1.0,0.6
2017-04-02,215184,138,0,0.002174623992237713,-1.0,0.2
2017-04-03,210442,147,0,0.0019891298170022684,-1.0,-0.2
2017-04-04,225710,142,0,0.0021387331606269903,1.0,-0.2
2017-04-05,418579,140,0,0.003989275496547235,1.0,0.2
2017-04-06,411571,140,0,0.003957413727902847,0.0,0.0
2017-04-07,234246,160,0,0.002025805615248536,-1.0,0.0
2017-04-08,239723,145,0,0.002203829240526206,1.0,0.4
2017-04-09,210063,149,0,0.0021369927697917892,-1.0,0.0
2017-04-10,207153,159,0,0.001985993726824177,-1.0,-0.4
2017-04-11,211683,159,0,0.0020370426059495178,0.0,-0.4
2017-04-12,218345,159,0,0.0021025223787987015,0.0,-0.2
2017-04-13,231729,149,0,0.002191273270676939,1.0,-0.2
2017-04-14,235656,143,0,0.0016998803456088668,1.0,0.2
2017-04-15,221484,144,0,0.001832785460530915,-1.0,0.2
2017-04-16,192237,150,0,0.0018345707463089948,-1.0,0.0
2017-04-17,196389,160,0,0.0016998251981538968,-1.0,-0.2
2017-04-18,202803,171,0,0.0016989163637354276,-1.0,-0.6
2017-04-19,207007,162,0,0.0017686181605961028,1.0,-0.6
2017-04-20,231917,163,0,0.0019941548974866273,-1.0,-0.6
2017-04-21,245854,161,0,0.002043307235886038,1.0,-0.2
2017-04-22,247243,147,0,0.0022193227237757313,1.0,0.2
2017-04-23,218820,151,0,0.0021776912893602374,-1.0,0.2
2017-04-24,217283,164,0,0.0019891187879608235,-1.0,-0.2
2017-04-25,229046,161,0,0.0020679167171428928,1.0,0.2
2017-04-26,238437,156,0,0.002150807568765775,1.0,0.2
2017-04-27,241449,154,0,0.002182346433534039,1.0,0.2
2017-04-28,244029,161,0,0.0020426027253084246,-1.0,0.2
2017-04-29,245169,142,0,0.0022154400181197474,1.0,0.6
2017-04-30,375918,143,0,0.003771046162406938,-1.0,0.2
2017-05-01,388542,140,5,0.0036377615569771512,1.0,0.2
2017-05-02,419378,138,5,0.0037718029788086044,1.0,0.2
2017-05-03,435376,129,5,0.003902933270720402,1.0,0.6
2017-05-04,446369,120,5,0.004002307440270065,1.0,0.6
2017-05-05,440831,137,5,0.0036411713144874503,-1.0,0.6
2017-05-06,428510,134,0,0.0038472162000204074,1.0,0.6
2017-05-07,377371,134,0,0.0037692345616508784,0.0,0.4
2017-05-08,393322,132,5,0.003607754508395224,1.0,0.4
2017-05-09,417368,130,5,0.003725645197280049,1.0,0.4
2017-05-10,423549,125,5,0.00378599667408949,1.0,0.8
2017-05-11,420966,127,5,0.003781257853929619,-1.0,0.4
2017-05-12,440391,137,5,0.003589037632619138,-1.0,0.2
2017-05-13,428958,137,0,0.0037964271503157098,0.0,0.0
2017-05-14,372413,136,0,0.003713937951497843,1.0,0.0
2017-05-15,399537,134,5,0.003671856021358353,1.0,0.0
2017-05-16,423050,132,5,0.0038183704478399316,1.0,0.4
2017-05-17,428721,113,5,0.003915067452431315,1.0,0.8
2017-05-18,419571,121,5,0.0036947799058310218,-1.0,0.6
2017-05-19,429930,125,5,0.0037110632914062794,-1.0,0.2
2017-05-20,419948,119,5,0.003862927572904378,1.0,0.2
2017-05-21,377930,119,5,0.003844456072178648,0.0,0.0
2017-05-22,387128,126,5,0.0036383114245636546,-1.0,-0.4
2017-05-23,407633,117,5,0.003795479296475292,1.0,0.0
2017-05-24,422878,115,5,0.003866186632393533,1.0,0.4
2017-05-25,431704,113,5,0.0038495770096866303,1.0,0.4
2017-05-26,269874,119,5,0.0022087258987315453,-1.0,0.2
2017-05-27,440321,117,5,0.004012035751902694,1.0,0.6
2017-05-28,392729,114,5,0.00397505304487126,1.0,0.6
2017-05-29,398025,113,5,0.004080521721190461,1.0,0.6
2017-06-01,411412,127,5,0.003806898917493508,-1.0,0.2
2017-06-03,440106,111,5,0.00423348230223152,1.0,0.6
2017-06-04,401962,108,5,0.004368813116025561,1.0,0.6
2017-06-05,418580,108,5,0.004173629362887471,0.0,0.4
2017-06-06,448795,103,5,0.004345442137638979,1.0,0.4
2017-06-07,462647,103,5,0.004387978664449973,0.0,0.6
2017-06-08,455811,105,5,0.00441340734846155,-1.0,0.2
2017-06-09,479813,105,5,0.004396253317200736,0.0,0.0
2017-06-10,457510,103,5,0.0044658536530845895,1.0,0.2
2017-06-11,427073,100,5,0.0045535000780999695,1.0,0.2
2017-06-12,440416,103,5,0.004399120938938074,-1.0,0.0
2017-06-13,446742,103,5,0.004430311181903038,0.0,0.2
2017-06-14,471471,97,5,0.004622157943096923,1.0,0.4
2017-06-15,477524,98,5,0.0046477313947547744,-1.0,0.0
2017-06-16,694627,58,5,0.006277431120184465,1.0,0.0
2017-06-17,686171,49,5,0.006413611009250048,1.0,0.4
2017-06-18,630305,46,5,0.006604871007096099,1.0,0.6
2017-06-19,705219,43,5,0.006856477939482829,1.0,0.6
2017-06-20,740764,42,5,0.0071112565516522775,1.0,1.0
2017-06-21,734842,42,5,0.007079511140873931,0.0,0.8
2017-06-22,732080,42,5,0.0071747360772138336,0.0,0.6
2017-06-23,537508,48,5,0.004941117328389482,-1.0,0.2
2017-06-24,669080,49,5,0.006519482600889646,-1.0,-0.2
2017-06-25,608117,48,5,0.006634833087006175,1.0,-0.2
2017-06-26,648061,50,5,0.006432071785327817,-1.0,-0.4
2017-06-27,668858,47,5,0.006666670188425844,1.0,-0.2
2017-06-28,681283,44,5,0.006818338194510435,1.0,0.2
2017-06-29,694391,43,5,0.006916283872351633,1.0,0.6
2017-06-30,706854,46,5,0.006560348507203164,-1.0,0.2
2017-07-01,681536,42,5,0.006671571554512803,1.0,0.6
2017-07-02,607173,43,5,0.006669030660518437,-1.0,0.2
