,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-02-17,300710,103,5,0.0029050539659831328,0.0,0.0
2017-02-18,427356,49,5,0.0044234838097176165,1.0,0.0
2017-02-19,480271,31,5,0.005611166865931783,1.0,0.0
2017-02-20,576287,23,5,0.006388675025979591,1.0,0.0
2017-02-21,683203,16,5,0.007426872666251125,1.0,0.8
2017-02-22,751503,15,5,0.007898631045002373,1.0,1.0
2017-02-23,795838,14,5,0.008138788287805883,1.0,1.0
2017-02-24,870739,14,5,0.008027764957828094,0.0,0.8
2017-02-25,876114,13,5,0.00878925357014708,1.0,0.8
2017-02-26,865139,12,5,0.00980087804250385,1.0,0.8
2017-02-27,973539,10,5,0.010390787021008444,1.0,0.8
2017-02-28,1042538,10,5,0.010667181974243024,0.0,0.6
2017-03-01,1079224,9,5,0.011008753559761249,1.0,0.8
2017-03-02,1106168,8,5,0.01105788780795514,1.0,0.8
2017-03-03,1163944,8,5,0.009489849029702268,0.0,0.6
2017-03-04,1130534,5,5,0.009825564153150883,1.0,0.6
2017-03-05,1013624,5,5,0.0098541462423922,0.0,0.6
2017-03-06,1093834,9,5,0.009668375055565132,-1.0,0.2
2017-03-07,1117596,9,5,0.0098083262245532,0.0,0.0
2017-03-08,1120994,9,5,0.009903839564220245,0.0,0.0
2017-03-09,1143245,8,5,0.010059166547443136,1.0,0.0
2017-03-10,1238620,5,5,0.010731776741371398,1.0,0.2
2017-03-11,1229240,6,5,0.011227674465688505,-1.0,0.2
2017-03-12,1105910,5,5,0.011203159977743,1.0,0.4
2017-03-13,1142131,5,5,0.01087183454463123,0.0,0.4
2017-03-14,1148401,5,5,0.011306284479141174,0.0,0.2
2017-03-15,1164535,5,5,0.011357502282062762,0.0,0.0
2017-03-16,1171470,5,5,0.011538339481001162,0.0,0.2
2017-03-17,1243754,5,5,0.011899517819215893,0.0,0.0
2017-03-18,1207553,5,5,0.01229401668274219,0.0,0.0
2017-03-19,1046983,27,5,0.007833918471198931,-1.0,-0.2
2017-03-20,1054104,27,5,0.007629824304726484,0.0,-0.2
2017-03-21,1072613,27,5,0.008026020813331348,0.0,-0.2
2017-03-22,1075864,23,5,0.008494266541412505,1.0,0.0
2017-03-23,1109000,19,5,0.009007305363237945,1.0,0.2
2017-03-24,1156739,14,5,0.009207287108324708,1.0,0.6
2017-03-25,1151623,9,5,0.009852374493321004,1.0,0.8
2017-03-26,1032268,8,5,0.010018303988407251,1.0,1.0
